"ID","Genotype","APA","Year","TrainSessionCombo","NumEntrances","NumShock","TimeTarget","Time1stEntr","Time1stShock","entranceshockequal","firstentranceshockequal"
"16-116C","FMR1-KO","trained_conflict","2016","T5_C2",5,6,7.498,2.2,2.2,"not equal","equal"
"16-117A","FMR1-KO","trained_trained","2016","T3",5,7,8.067,64.37,64.37,"not equal","equal"
"16-120C","FMR1-KO","trained_conflict","2016","T6_C3",5,7,12.833,0.53,0.53,"not equal","equal"
"16-117A","FMR1-KO","trained_trained","2016","Retention",5,13,24.934,214.27,214.27,"not equal","equal"
"15142B","WT","yoked_conflict","2015","T3",5,15,33,94.37,94.37,"not equal","equal"
"16-121D","FMR1-KO","trained_conflict","2016","T2",6,6,4.032,56.67,56.67,"equal","equal"
"15145A","WT","trained_conflict","2015","T1",6,6,4.798,17.5,17.5,"equal","equal"
"16-121D","FMR1-KO","trained_conflict","2016","T1",6,6,4.832,9.1,9.1,"equal","equal"
"15145A","WT","trained_conflict","2015","Retest",6,6,4.834,50,50,"equal","equal"
"16-119D","FMR1-KO","trained_conflict","2016","T5_C2",6,6,4.9,213.37,213.37,"equal","equal"
"16-121B","FMR1-KO","trained_trained","2016","T4_C1",6,6,4.965,0.83,0.83,"equal","equal"
"16-123A","WT","trained_trained","2016","T4_C1",6,6,5.131,126.23,126.23,"equal","equal"
"16-119A","FMR1-KO","trained_trained","2016","T3",6,6,5.499,63.97,63.97,"equal","equal"
"15140C","WT","trained_trained","2015","T1",6,6,6.333,1.73,1.73,"equal","equal"
"16-117C","FMR1-KO","trained_conflict","2016","T1",6,6,6.533,59.2,59.2,"equal","equal"
"16-123A","WT","trained_trained","2016","T1",6,6,6.598,7.77,7.77,"equal","equal"
"15141A","WT","trained_conflict","2015","T1",6,6,6.631,2.57,2.57,"equal","equal"
"16-126A","WT","trained_trained","2016","T1",6,6,9.799,6.97,6.97,"equal","equal"
"16-126A","WT","trained_trained","2016","T4_C1",6,6,10.268,13.63,13.63,"equal","equal"
"15145C","WT","trained_trained","2015","T2",6,7,8,14.83,14.83,"not equal","equal"
"15140A","WT","trained_conflict","2015","T1",6,7,8.433,9.83,9.83,"not equal","equal"
"16-119C","FMR1-KO","trained_conflict","2016","T1",6,7,8.464,0.53,0.53,"not equal","equal"
"16-117C","FMR1-KO","trained_conflict","2016","T3",6,7,9.166,59.67,59.67,"not equal","equal"
"16-122C","WT","trained_conflict","2016","T2",6,7,9.767,39.63,39.63,"not equal","equal"
"15140C","WT","trained_trained","2015","T3",6,8,10.334,4.27,4.27,"not equal","equal"
