"yoked","trained.x","ID.x","Genotype.x","APA.x","Year.x","TrainGroup.x","TrainSequence.x","TrainSessionCombo.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","entranceshockequal.x","firstentranceshockequal.x","trained.y","ID.y","Genotype.y","APA.y","Year.y","TrainGroup.y","TrainSequence.y","TrainSessionCombo.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y","entranceshockequal.y","firstentranceshockequal.y"
"16-357A_T1_1","16-124A_T1_1","16-357A","WT","yoked_trained","2016","yoked","train-train","T1",0,0,74.799,599.97,599.97,"equal","equal","16-124A_T1_1","16-124A","WT","trained_trained","2016","trained","train-train","T1",15,12,17.399,6.27,6.27,"not equal","equal"
"16-357A_T2_1","16-124A_T2_1","16-357A","WT","yoked_trained","2016","yoked","train-train","T2",0,0,87.734,599.97,599.97,"equal","equal","16-124A_T2_1","16-124A","WT","trained_trained","2016","trained","train-train","T2",5,4,7.833,15.2,15.2,"not equal","equal"
"16-357A_T3_1","16-124A_T3_1","16-357A","WT","yoked_trained","2016","yoked","train-train","T3",0,0,98.032,599.97,599.97,"equal","equal","16-124A_T3_1","16-124A","WT","trained_trained","2016","trained","train-train","T3",2,2,2.233,34.67,34.67,"equal","equal"
"16-357A_Retest_2","16-124A_Retest_2","16-357A","WT","yoked_trained","2016","yoked","train-train","Retest",0,0,52.071,599.97,599.97,"equal","equal","16-124A_Retest_2","16-124A","WT","trained_trained","2016","trained","train-train","Retest",1,1,1.034,324.3,324.3,"equal","equal"
"16-357A_T4_C1_2","16-124A_T4_C1_2","16-357A","WT","yoked_trained","2016","yoked","train-train","T4_C1",0,0,62.135,599.97,599.97,"equal","equal","16-124A_T4_C1_2","16-124A","WT","trained_trained","2016","trained","train-train","T4_C1",4,4,3.468,40.1,40.1,"equal","equal"
"16-357A_T5_C2_2","16-124A_T5_C2_2","16-357A","WT","yoked_trained","2016","yoked","train-train","T5_C2",0,0,92.602,599.97,599.97,"equal","equal","16-124A_T5_C2_2","16-124A","WT","trained_trained","2016","trained","train-train","T5_C2",1,1,0.6,385.53,385.53,"equal","equal"
"16-357A_T6_C3_2","16-124A_T6_C3_2","16-357A","WT","yoked_trained","2016","yoked","train-train","T6_C3",0,0,76.131,599.97,599.97,"equal","equal","16-124A_T6_C3_2","16-124A","WT","trained_trained","2016","trained","train-train","T6_C3",2,2,1.834,107.5,107.5,"equal","equal"
"16-357B_T1_1","16-124B_T1_1","16-357B","WT","yoked_trained","2016","yoked","train-train","T1",0,0,118.435,599.97,599.97,"equal","equal","16-124B_T1_1","16-124B","WT","trained_trained","2016","trained","train-train","T1",16,13,16.333,4,4,"not equal","equal"
"16-357B_T2_1","16-124B_T2_1","16-357B","WT","yoked_trained","2016","yoked","train-train","T2",0,0,100.001,599.97,599.97,"equal","equal","16-124B_T2_1","16-124B","WT","trained_trained","2016","trained","train-train","T2",7,7,8.299,28.3,28.3,"equal","equal"
"16-357B_T3_1","16-124B_T3_1","16-357B","WT","yoked_trained","2016","yoked","train-train","T3",0,0,111.799,599.97,599.97,"equal","equal","16-124B_T3_1","16-124B","WT","trained_trained","2016","trained","train-train","T3",3,3,3.1,15.27,15.27,"equal","equal"
"16-357B_Retest_2","16-124B_Retest_2","16-357B","WT","yoked_trained","2016","yoked","train-train","Retest",0,0,100.101,599.97,599.97,"equal","equal","16-124B_Retest_2","16-124B","WT","trained_trained","2016","trained","train-train","Retest",13,12,15.201,12.17,12.17,"not equal","equal"
"16-357B_T4_C1_2","16-124B_T4_C1_2","16-357B","WT","yoked_trained","2016","yoked","train-train","T4_C1",0,0,85.501,599.97,599.97,"equal","equal","16-124B_T4_C1_2","16-124B","WT","trained_trained","2016","trained","train-train","T4_C1",13,11,16.1,7.37,7.37,"not equal","equal"
"16-357B_T5_C2_2","16-124B_T5_C2_2","16-357B","WT","yoked_trained","2016","yoked","train-train","T5_C2",0,0,113.499,599.97,599.97,"equal","equal","16-124B_T5_C2_2","16-124B","WT","trained_trained","2016","trained","train-train","T5_C2",11,11,13.865,49.67,49.67,"equal","equal"
"16-357B_T6_C3_2","16-124B_T6_C3_2","16-357B","WT","yoked_trained","2016","yoked","train-train","T6_C3",0,0,79.933,599.97,599.97,"equal","equal","16-124B_T6_C3_2","16-124B","WT","trained_trained","2016","trained","train-train","T6_C3",12,11,14.964,0.53,0.53,"not equal","equal"
