"Genotype.x","Year.x","TrainSequence.x","TrainSessionCombo.x","ID.x","TrainGroup.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","ID.y","TrainGroup.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y"
"FMR1-KO","2016","train-train","T6_C3","16-117B","yoked",49,12,93.1,0.53,0.53,"16-117A","trained",1,1,1.333,374.93,374.93
"FMR1-KO","2016","train-conflict","Hab","16-118D","yoked",49,29,87.266,15.53,15.53,"16-118C","trained",54,30,104.695,0.53,0.53
"WT","2015","train-train","Retest","15141D","yoked",50,15,106.466,35.43,35.43,"15141C","trained",7,7,8.133,41.17,41.17
"WT","2015","train-train","T+_C+","15142D","yoked",50,24,95.131,0.53,0.53,"15142C","trained",1,1,1.234,317.13,317.13
"WT","2015","train-train","T6_C3","15143D","yoked",50,12,103.236,49.87,49.87,"15143C","trained",0,0,0,599.97,599.97
"WT","2015","train-train","T3","15144D","yoked",50,12,103.066,34.37,34.37,"15144C","trained",2,2,1.4,28.97,28.97
"WT","2015","train-train","T4_C1","15147D","yoked",50,12,93.932,31.8,31.8,"15147C","trained",2,2,1.4,297.17,297.17
"WT","2015","train-train","T5_C2","15147D","yoked",50,11,103.302,11.23,11.23,"15147C","trained",1,1,0.866,91.23,91.23
"WT","2015","train-conflict","T3","15143B","yoked",50,16,99.7,19.23,19.23,"15143A","trained",1,1,0.633,585.8,585.8
"WT","2016","train-train","T1","16-122B","yoked",50,11,91.334,40.33,40.33,"16-122A","trained",12,11,12.599,33.77,33.77
"WT","2016","train-conflict","T3","16-123D","yoked",50,17,95.799,30.97,30.97,"16-123C","trained",10,10,11.533,37.47,37.47
"WT","2015","train-train","Retention","15142D","yoked",51,22,96.399,7.93,7.93,"15142C","trained",8,3,18.1,482.43,482.43
"WT","2015","train-train","Hab","15146D","yoked",51,25,98.338,1.83,1.83,"15146C","trained",58,35,101.073,15.8,15.8
"WT","2015","train-train","T6_C3","15147D","yoked",51,11,97.565,30.03,30.03,"15147C","trained",0,0,0,599.97,599.97
"WT","2015","train-conflict","Hab","15148B","yoked",51,35,88.033,14.6,14.6,"15148A","trained",61,28,117.834,0.5,0.5
"WT","2016","train-train","Retention","16-125B","yoked",51,18,94.265,7.9,7.9,"16-125A","trained",14,6,27.632,238.63,238.63
"WT","2016","train-train","Hab","16-357B","yoked",51,32,88.734,7.93,7.93,"16-124B","trained",56,27,99.138,1.03,1.03
"WT","2016","train-conflict","Retest","16-124D","yoked",51,22,103.931,45.23,45.23,"16-124C","trained",2,1,3.1,167.53,167.53
"WT","2016","train-conflict","T5_C2","16-124D","yoked",51,16,103.301,2.63,2.63,"16-124C","trained",21,18,24.934,0.53,0.53
"FMR1-KO","2016","train-train","T6_C3","16-121A","yoked",51,16,105.172,69.27,69.27,"16-121B","trained",1,1,0.634,570.7,570.7
"WT","2015","train-train","Retention","15141D","yoked",52,19,133.5,19.13,19.13,"15141C","trained",21,8,35.798,30.53,30.53
"WT","2015","train-train","Hab","15142D","yoked",52,19,105.467,24.33,24.33,"15142C","trained",57,34,96.867,0.5,0.5
"WT","2015","train-train","Retest","15145D","yoked",52,16,99.998,0.53,0.53,"15145C","trained",6,5,7.368,28,28
"WT","2015","train-train","Retest","15147D","yoked",52,17,102.338,0.53,0.53,"15147C","trained",1,1,0.6,433.5,433.5
"WT","2015","train-train","Retention","15147D","yoked",52,12,98.271,45.87,45.87,"15147C","trained",5,2,11.399,492.5,492.5
"WT","2015","train-conflict","T5_C2","15143B","yoked",52,16,99.234,10.4,10.4,"15143A","trained",2,2,2.1,278.13,278.13
"WT","2015","train-conflict","Retention","15144B","yoked",52,20,107.065,67.2,67.2,"15144A","trained",0,0,0.034,599.97,599.97
"WT","2015","train-conflict","Retest","15145B","yoked",52,16,115.799,13.53,13.53,"15145A","trained",6,6,4.834,50,50
"FMR1-KO","2016","train-train","Retention","16-117B","yoked",52,22,104.463,19.43,19.43,"16-117A","trained",13,5,24.934,214.27,214.27
"WT","2016","train-train","T2","16-122B","yoked",53,12,103.533,18.47,18.47,"16-122A","trained",9,7,13.034,19.47,19.47
"WT","2016","train-conflict","T2","16-122D","yoked",53,16,97.4,9.53,9.53,"16-122C","trained",7,6,9.767,39.63,39.63
"WT","2016","train-conflict","Hab","16-124D","yoked",53,25,108.835,20.27,20.27,"16-124C","trained",52,28,92.535,16.47,16.47
"WT","2015","train-train","T5_C2","15140D","yoked",54,14,109.5,40.27,40.27,"15140C","trained",8,7,9.968,71.33,71.33
"WT","2015","train-train","T1","15141D","yoked",54,20,106.666,1.07,1.07,"15141C","trained",8,8,8.001,1.37,1.37
"WT","2015","train-train","T6_C3","15142D","yoked",54,15,112.938,29.93,29.93,"15142C","trained",0,0,0,599.97,599.97
"WT","2015","train-train","Retest","15146D","yoked",54,22,102.131,0.53,0.53,"15146C","trained",3,3,1.8,273.37,273.37
"FMR1-KO","2016","train-conflict","T3","16-118D","yoked",54,20,102.602,148.87,148.87,"16-118C","trained",12,11,14.167,39.43,39.43
"WT","2015","train-train","Hab","15141D","yoked",55,29,102.096,2.13,2.13,"15141C","trained",44,23,83.731,14.3,14.3
"WT","2015","train-train","Hab","15145D","yoked",55,34,105.238,23.33,23.33,"15145C","trained",54,31,113.835,9.27,9.27
"WT","2015","train-train","T1","15147D","yoked",55,17,116.764,0.53,0.53,"15147C","trained",4,4,3.167,13.13,13.13
"WT","2015","train-conflict","Hab","15140B","yoked",55,35,98.704,20.1,20.1,"15140A","trained",52,28,94.665,24.63,24.63
"WT","2015","train-conflict","T6_C3","15142B","yoked",55,15,108.367,3.47,3.47,"15142A","trained",3,3,2.867,322.7,322.7
"WT","2015","train-conflict","Hab","15145B","yoked",55,34,108.667,0.53,0.53,"15145A","trained",59,39,116.634,3.1,3.1
"WT","2015","train-conflict","T1","15145B","yoked",55,23,102.293,6.43,6.43,"15145A","trained",6,6,4.798,17.5,17.5
"WT","2016","train-train","Hab","16-122B","yoked",55,32,97.596,2.07,2.07,"16-122A","trained",48,31,84.571,2.8,2.8
"WT","2016","train-train","T4_C1","16-122B","yoked",55,14,105.738,44.63,44.63,"16-122A","trained",5,5,5.667,31.47,31.47
"WT","2016","train-train","Hab","16-126B","yoked",55,32,97.871,15.1,15.1,"16-126A","trained",67,41,114.231,1.37,1.37
"FMR1-KO","2016","train-train","Hab","16-117B","yoked",55,32,96.165,0.53,0.53,"16-117A","trained",49,30,84.1,3.43,3.43
"WT","2015","train-train","T5_C2","15144D","yoked",56,13,113.267,19.33,19.33,"15144C","trained",0,0,0,599.97,599.97
"WT","2015","train-conflict","Hab","15147B","yoked",56,30,104.203,11.2,11.2,"15147A","trained",48,32,81.968,6.1,6.1
