"Mouse","Year","Genotype","Behavior","E.phy","YokedTo","Conflict","APA","Group","notes","collector","Tube","Slice","Punch","photos","Date","ready.time","start.time","end.time","Slice.collector","Punch.Collector","SliceSize","Punchsize","punch.location","RNAisolationdate","RNAisolator","slice.location","best.location","jobnumber","RNAseqID","Mouse.short","Random","storagebox","year","Purpose","region","X"
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BEV","3","CA1","9.4x","6/24/16","21:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BEX","1","CA3","9.4x","6/24/16","23:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BEY","2","CA3","9.4x","6/24/16","0:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BEZ","3","CA3","9.4x","6/24/16","1:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BFB","1","DG","9.4x","6/24/16","3:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BFC","2","DG","9.4x","6/24/16","4:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BFD","3","DG","9.4x","6/24/16","5:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BFF","1","CA2","9.4x","6/24/16","7:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BFG","2","CA2","9.4x","6/24/16","8:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BFH","3","CA2","9.4x","6/24/16","9:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BFJ","1","CA4","9.4x","6/24/16","11:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BFK","2","CA4","9.4x","6/24/16","12:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116B","Summer2016","FMR1","","","","NoConflict","Yoked","FMR1 NoConflict Yoked","","MK","BFL","3","CA4","9.4x","6/24/16","13:30","20:00","20:10","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"2 - BCU - BGC",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BGQ","1","CA1","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BGR","2","CA1","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BGS","3","CA1","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BGT","4","CA1","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BGU","1","DG","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BGV","2","DG","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BGW","3","DG","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BGX","4","DG","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BGY","1","CA3","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BGZ","2","CA3","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BHA","3","CA3","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BHB","4","CA3","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BHC","1","CA4","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
