Mouse,notes.mouse,photos,Date,Slice.collector,CA1,CA2,CA3,CA4,DG,1,2,3,4
15-140E,,,6/9/2015,MK,4,3,4,0,4,,,,
15-141E,,,6/12/2015,MK,4,4,3,0,0,,,,
15-142E,,,6/14/2015,MK,3,2,2,0,4,,,,
15-140A,mouse not used for ephys,,6/18/2015,MK,3,3,3,0,3,,,,
15-140B,,,6/18/2015,MK,4,4,4,0,4,,,,
15-140C,,,6/19/2015,MK,3,3,3,0,3,,,,
15-140D,,,6/19/2015,MK,3,3,3,0,3,,,,
15-141C,,,6/26/2015,MK,2,2,3,2,2,,,,
15-141D,,,6/26/2015,MK,3,3,3,3,3,,,,
15-144E,mouse not used for ephys,,6/30/2015,MK,2,2,3,2,4,,,,
15-142A,,,7/2/2015,MK,4,2,4,3,4,,,,
15-142B,,,7/2/2015,MK,4,2,4,3,4,,,,
15-142C,,slice photos,7/6/2015,MK,4,2,2,2,5,,,,
15-142D,,slice photos,7/6/2015,MK,3,3,2,3,3,,,,
15-143A,,,7/9/2015,MK,2,2,2,2,2,,,,
15-143B,,,7/9/2015,MK,3,3,3,3,3,,,,
15-143D,,,7/9/2015,MK,3,0,2,3,0,,,,
15-143C,,,7/10/2015,MK,4,2,3,2,3,,,,
15-143D,,,7/10/2015,MK,0,2,1,0,2,,,,
A,15-144?,,7/15/2015,MK,2,2,2,2,2,,,,
B,15-144?,,7/15/2015,MK,4,4,4,4,3,,,,
15-144D,crystals on slice,,7/17/2015,MK,3,3,3,3,3,,,,
15-144C,,,7/18/2015,MK,3,3,3,3,3,,,,
15-145A,,,7/18/2015,MK,3,3,3,3,3,,,,
15-145B,,slice photos,7/18/2015,MK,3,3,3,3,3,75,77,74,
15-145C,,slice photos,7/22/2015,MK,4,4,4,4,3,72,74,75,
15-145D,,slice photos,7/22/2015,MK,3,3,3,3,3,72,77,75,
15-146A,,slice photos,7/23/2015,MK,3,3,3,3,3,76,75,78,
15-146B,,slice photos,7/23/2015,MK,4,5,4,4,4,69,75,76,
15-146C,,slice photos,7/24/2015,MK,4,4,4,4,4,70,72,76,
15-146D,,slice photos,7/24/2015,MK,4,4,4,4,4,78,75,74,
15-147A,,slice photos,7/25/2015,MK,4,4,4,4,4,77,75,69,
15-147B,,slice photos,7/25/2015,MK,4,4,4,4,4,78,73,76,
15-147,homecage,slice photos,7/27/2015,MK,4,4,4,3,4,82,74,70,
15-321,,,7/27/2015,JMA,2,0,0,0,2,88,87,,
15-148,homecage,slice photos,7/28/2015,MK,5,4,4,4,4,72,77,79,
15-147C,,slice photos,7/29/2015,MK,3,3,4,2,4,68,78,75,
15-147D,,slice photos,7/29/2015,MK,4,4,4,4,4,74,70,67,
15-310,,slice photos,7/29/2015,JMA,1,3,3,3,3,72,79,78,
15-148A,,slice photos,7/30/2015,MK,3,3,3,3,3,79,69,75,
15-148B,,slice photos,7/30/2015,MK,4,4,4,4,4,83,77,73,
15-331,,slice photos,7/30/2015,JMA,3,3,3,3,3,78,73,79,
???,,,7/31/2015,JMA,3,3,3,3,3,,,,
15-148C,,slice photos,7/31/2015,MK,4,4,4,4,4,72,78,74,
15-148D,,slice photos,7/31/2015,MK,5,5,4,4,5,78,70,74,
