"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78"
"Retention_AnnularKurtosis",-0.102697755310165,-0.0240085297433491,-0.0815899207734007,-0.00676889610817091,-0.0923249010478226,-0.0151047744665797,-0.0716472537819085,0.00458562416629558,0.124462154820801,0.0670646528315465,0.0675447602233638,0.0304965435509787,-0.0468468890203592,0.0629754258855589,0.105978753281415,-0.0134803849091981,0.0618041930139284,0.0970862031447548,0.0549685786339563,0.0622086643294247,-0.100925678602784,0.111243119494816,-0.116325082102292,0.01066458505742,0.0458523009490648,0.0711667326317942,0.152585629761652,-0.0961732631979849,-0.0663858334587102,0.0245523498224407,0.0397180752672631,0.0199699296919803,-0.0234034673802976,0.0889495703823234,-0.0695081915282192,0.0342387797604438,0.00237465977147726,0.0397860555437343,0.0265898245130309,-0.0127133944759088,0.0018728332074927,0.15779797455687,-0.139074503690029,-0.0382300663219996,0.00316049596512057,-0.102395061174977,0.0516831452327548,0.0999547653503042,-0.0993684209166967,0.0231596182596133,-0.0448533277107753,-0.014301935825597,0.00832751696793258,-0.104267122165187,-0.0193670330437113,-0.00415028913890952,-0.213789201106806,-0.0110970049645381,0.148625572179347,-0.0418717501131509,0.0620845780810956,-0.0783287774437754,-0.0102207978421011,-0.0957191660024756,0.0068072228384009,-0.115568463952983,-0.0935628126899444,-0.0208573907605669,-0.0258046203921498,0.0327694826632315,-0.133520377305151,0.0561435020705972,-0.0600495052707712,-0.217422740054709,-0.11356363956816,0.219042181449864,0.183025126858946,-0.0204279209529305
"Retention_AnnularMaxBin",-0.0744998077334754,-0.0834870587415981,-0.0687249637188445,-0.0265305340227382,0.0374433524563312,-0.0884310967915524,0.0649041846650123,0.0965139984778863,0.0619130771740163,0.160038313675943,0.104401068444988,-0.0483082837196642,0.0777653436029484,-0.0579953648284707,0.0209885580286916,0.0218133386538332,0.0483855154900394,0.0710491368029928,0.0179888306618681,-0.104859585518027,-0.119571857213038,0.0562167398626013,0.0107555726862594,-0.178785679355898,-0.0723631157373822,0.0685285984889561,0.0380616899068529,-0.0749330929596008,0.0864797148158678,-0.0446447121991905,-0.0197207005295654,-0.0974220735332073,0.115348452969277,-0.0698822059629477,-0.154891878678076,0.120746883825141,0.179178001162727,0.163033368142081,0.0877120938922644,0.0595266413372383,-0.0522934278763029,0.0637752161946462,-0.0498304440601151,0.134660583339571,-0.00561269882685313,0.231747789281328,0.0151012754588414,0.0479310008544776,0.11416641096533,0.0257107908817695,0.0152848386258595,0.063005288556553,-0.0106654283427594,0.208998852580372,0.10459137734483,-0.0409863080573511,0.0428973115212489,0.0459707811450261,-0.0760428852800498,0.0734495952532499,0.107779897855537,0.0241497597301626,-0.150605918635346,0.0639805132514036,0.0790825376276598,0.119376235059525,0.102662674353569,0.0833174314586682,-0.118027531122225,-0.104864649089998,-0.105276942438328,0.0769394858752498,0.105448651422721,0.108861006776481,0.0672853707239107,-0.0474347169011763,0.0350605495786989,-0.0552428346277911
"Retention_AnnularMaxVal",-0.0415868144566695,0.00810266040171719,-0.0229756096454243,-0.0202015899148955,-0.144962124737421,0.136416174380401,-0.0600962258626956,0.0722928677994831,0.166328589148452,0.00948850894770455,-0.0282298880788179,0.131527907594206,-0.205398383966374,-0.00457967641732295,-0.0218465500607813,0.0276932419974955,-0.0700634314670103,0.0738347569354814,-0.0248065213205123,0.0404660872956365,-0.205850195881174,-0.0111788382445,-0.0266822545897881,0.0726636423369753,0.0481672186070539,-0.0165495845887792,0.0375929439959875,-0.0827948411435684,-0.0510805457623301,0.197942294274316,-0.0520556438137078,0.11358037214893,0.18939506920388,0.125148141894364,0.000156681175347938,-0.121180122747757,-0.0557735987187737,0.102490784742537,-0.012052362175336,-0.0847041348342211,-0.0710018824248515,0.129868661138924,0.136165067038039,-0.183421121201237,-0.051803410050148,0.12452743765284,0.0988997185843793,0.0203112223853928,-0.000569062509353533,0.0690095477371612,-0.0280658909168198,-0.00822330370699333,-0.047641893382294,-0.0496808787507366,-0.000656587323183105,0.0100266772063829,0.0930454510256989,-0.0170143137499918,0.0434383478482513,-0.0194385474554222,0.109950621643835,-0.109048583290108,0.0250178033128544,-0.10975357389836,0.273152695079888,0.0332513898907811,0.188590873871924,-0.0334432298038813,0.083187362616907,0.0971535727480566,-0.0625337313645471,-0.0743051903439725,0.103242667649697,0.104665262711587,-0.0110797225847723,-0.058202119453555,-0.14893681591724,0.0281784852488043
"Retention_AnnularMinBin",0.0482305760673391,-0.00270307825988668,0.0411654397430531,0.00478502095163881,0.0210036470065375,0.0314805178352476,0.0729179766672553,-0.0576246631164298,-0.0763655352029141,-0.101967172054963,0.0401342499027964,-0.131269327378942,-0.113312452758884,0.00497705192610156,-0.186918529854296,-0.100769769875516,0.107925427877366,0.0283156244897286,0.153962767121296,0.181675135497414,0.0240796022071149,0.0597496522295038,-0.119336591506169,0.0918802543095934,-0.244382179714879,-0.134087263207313,-0.239542645126317,-0.0343952025232029,-0.0609964902113141,-0.0338630990419845,-0.0523012365339576,0.000827433870388082,-0.0591618074458813,-0.106575997199395,-0.122512810278432,0.237420702530065,-0.0561930899503362,0.157776962493984,-0.0234769875338007,0.0743253302989974,-0.0244525021888573,-0.0548275579432825,-0.0568307201259279,-0.23339772673013,-0.176883326774492,-0.0363200113731627,-0.102177784690625,0.105098062729491,0.0508246962723528,-0.0887329896451041,-0.0545522037421217,-0.00349463721362159,0.0469958217745339,-0.191035780076648,0.144520666295179,-0.11072065891698,0.120849267370468,0.130018142689313,0.028626455892139,-0.0671684925694896,-0.0878400193832051,-0.0540168626464258,-0.0291491708868377,0.0333240344251326,0.140902278651987,-0.00563783569713778,-0.00326519625520601,0.0668124722208497,0.062929206881446,0.0583678246892117,-0.0621186538190827,-0.108222533157662,-0.0846893768185731,-0.0178533403265277,0.00788331273796167,-0.0958308237766738,0.0830776918238582,0.0209453528705218
"Retention_AnnularMinVal",0.0375271156689672,0.0249284432000894,0.0206275695384684,0.0100930217299211,0.0271235183574766,-0.0975477906611011,-0.0589875373971721,0.0331147582669956,-0.00768508931639472,0.0437846698578382,0.0503444390114875,0.0640407697539343,0.20795052922595,-0.127397632496536,-0.0615979102520242,0.166916795874892,-0.149976037163226,-0.181725411767312,-0.15775863853439,-0.0601827841875898,0.0264132626782411,-0.063305910101156,0.0256262327950047,-0.113993400125205,0.194059803658193,0.0472274399557754,0.0411092759848078,-0.120681296310374,0.131018387370148,-0.171043170258758,-0.0862975371163535,-0.0478787172270936,0.281818871773495,-0.0575866051090118,0.061845635849574,0.0714932563365402,0.0892232441316813,0.155641597896683,-0.211506487070692,-0.192924967285215,-0.0824265071871227,-0.0670142531759983,-0.0550972358472249,-0.138838642743116,0.151916726528222,-0.0249830813863747,-0.0890087633726711,0.0687610060880349,0.0764704252822721,0.0138140697093695,-0.129415164306101,0.0663006505161035,0.0703564532396743,-0.00606131881158155,0.0961410806932555,-0.0480957029373107,0.058987018713149,-0.0229363567936861,0.0289448952375577,0.0286470132029767,-0.0298420262882553,-0.0183060866499088,0.14938148988132,0.0165941931703239,0.162130595067382,-0.0330912055495941,0.0071562808052792,0.0454607310594797,-0.0361072677297865,0.127682746903667,0.116035593594913,0.0232261995824683,-0.190753216062588,-0.12764563456427,0.0320883525312303,0.0818140338741557,0.0107896246763703,0.0327439163206463
"Retention_AnnularSd",0.113851593991834,0.0374768029188664,0.088691107855845,0.0236322078376662,0.0839734711282338,0.0124953512136331,0.0365956513880956,-0.0341452814003867,-0.0722014488400973,-0.0702104392812887,-0.00847991449972947,0.0259088674773285,0.0697043550812618,-0.119443274244482,-0.0360973126178771,0.0704886377894593,0.0283951712637807,0.00405108623446367,-0.010422747252659,0.0480056798607762,0.0211056730555263,0.0186157220230704,-0.115796377240884,-0.0387669684036863,0.0628713809587732,-0.0998018241138695,-0.141236920604107,0.0525537323956188,-0.0203190890380788,-0.0639499921260449,-0.112537962680797,0.0542916506265157,-0.0434600556670707,-0.0603779537657481,-0.046723265267822,0.00201129206022802,0.0668013280014372,0.0401792240738553,-0.0837768254302233,0.0956560495554447,-0.0371399011334507,-0.104588843858675,-0.00381044753185872,-0.0762406754523324,-0.0233242077515836,0.0624330598756349,-0.10678107952237,0.0706573531800619,0.00784126757045171,-0.0379066059194638,-0.0559472542737724,0.0821062318365048,0.107871596033813,0.132504912984993,-0.0648484845840606,-0.0311886088123409,-0.00486033402065534,-0.017411164313085,-0.123357280973936,0.0069766093133969,-0.106085823145441,-0.0811310329465725,-0.0858904266487713,-0.124758410745389,-0.195080863144814,0.0329989113587076,-0.0113308875776656,-0.0520981907961633,0.0537030392324019,0.139329123142092,-0.031004055044914,-0.116973841051528,0.0672029131877118,0.100284564578512,-0.0860235217213322,0.0192051975100869,-0.118676308283748,-0.0523178565492914
"Retention_AnnularSkewnes",-0.0950982456275598,-0.031568866367925,-0.10166986419966,0.0340613596093049,-0.008422345433987,-0.0755049546114903,-0.0287839911777659,0.00322714487956375,0.0865029365647975,0.132329575600928,0.0940637403925121,0.0302056571868361,0.0880451872227833,0.00155410439645104,0.111996582810466,0.0311488385728988,0.0853350172380482,0.116508140194954,0.0450821672176187,0.0518373049513795,-0.0996543483396144,0.124037968883101,-0.121039897006833,-0.0757542821575052,-0.0215593236671743,-0.0387885809525129,0.14960742978491,-0.0911078621347374,0.0921297431982234,-0.0269299141396719,0.0326183174506802,-0.0189601649672173,0.00556604291831015,0.05550905621071,-0.127907620998283,0.0283252842781237,0.0202131365734185,0.101647016415498,-0.0461910022721607,-0.0178986888990906,-0.0507782218971966,0.156332122801711,-0.146908706682172,0.0482967857388983,0.00549480453667913,-0.0753369454275249,-0.0652411583883249,0.139285787787744,-0.0765491781511344,-0.0090067114809833,-0.0490425047273167,0.0142346620212164,-0.0161794507590853,0.0950683392144165,0.0762504106097087,-0.0712139987109063,0.0212984219832629,0.0733909485189906,-0.0237020793760131,-0.0311054730849332,-0.00293138586941287,0.00346762411086818,-0.0699852454308688,-0.0834770447641679,-0.0516967114980778,-0.0982588569791866,0.0486321851952133,0.0493371280036399,0.00696576005923694,0.0504039660899982,-0.160597968702361,-0.135424833469632,0.162577422430675,0.0238673320539519,-0.0355794082219056,0.00451280099857412,-0.0968231017196834,0.0158902826295635
"Retention_EntrShockDiff",0.114348497649353,-0.0242373247332883,-0.107031983518447,0.0210860213542945,0.0915992687757068,0.0738381102209812,0.0474841773603747,0.0373149102073055,0.0579140343550879,0.103005197173205,-0.0601295405550964,-0.039207395543207,-0.00953703594034942,-0.011676691612815,0.121317364710637,0.0291460553523845,-0.106142355940496,-0.00288306372721426,-0.0129624518508791,0.0438884262975743,0.021809195038841,-0.0153723030187436,-0.0256993269786158,0.0110816085134757,-0.0102531260795636,0.00655298769940485,-0.0157520542191256,-0.0353537258975464,-0.0626456532434755,-0.0163601172642977,-0.0597253265796426,0.0754143245109746,-0.085726281817206,0.0170024376677946,0.164157172453693,0.0121466899196647,0.110415865816027,0.0138298232624201,-0.0425677032250736,-0.0179780816713833,-0.000604392370106108,-0.0127078214475975,-0.0711054547236737,-0.0156515974061656,-0.0244080372372024,0.0269097015090611,0.0372692048319433,0.0632594080891773,0.0539320485049088,-0.0617999431544172,0.026676133588162,-0.0626531269287775,-0.0778444859927381,-0.0448397808213395,0.034592112320239,-0.0447711525407629,-0.0317483279150078,-0.0886261574336638,0.067322711717518,0.0274261434942947,-0.000451760005195924,-0.0636833808430552,0.0330283463115144,0.0158470167786425,0.0542319573776349,0.0179240604021908,0.0131626681838151,0.0296086462020759,-0.0133043663107542,0.0110748132560424,0.0236032310861545,0.0112438055830576,-0.0195214552631703,0.0344162858687501,-0.0203538251467685,0.0526383829184404,0.0744110901488355,-0.0079058536496405
"Retention_Linearity.Arena.",-0.0173624398708296,-0.00776219960059891,-0.0997180913051142,-0.12949772438449,0.0411951431286307,-0.137217426358346,0.167740629605916,-0.197419513396533,-0.225459122514996,-0.091092281434635,-0.0281096909859229,-0.0373002089338489,0.0373647299723283,-0.0486522824231413,-0.0464049700086182,-0.0223199940768609,0.0486817263060417,0.021007695523124,0.01986133849997,0.0370649716610787,-0.0476061863630305,-0.0543910364550216,0.0520573913236769,-0.0205817263614175,0.0436178806579264,0.0228078127292832,0.049419157966853,0.0155794739731051,-0.0606899490875799,0.0573211691873823,0.0490153317314374,0.0339562598857506,0.0404456455122877,-0.0557308455131838,0.0330629568081034,0.095347611143649,0.0701180055778295,-0.0327843992018192,-0.056226255939712,-0.0631414304686391,-0.0808075764818569,-0.05817000134031,-0.0198137155472779,-0.119782080923123,-0.0464282192097053,-0.0100931099017651,-0.0956809005610186,-0.0175150883716072,0.000309972772842264,0.0462517303791604,-0.0125514152787618,-0.0141733902745131,-0.0676977261619726,0.0753627002284924,0.0216519473023587,0.0473295377860966,0.096639695960145,-0.0248982973959092,-0.0413557459947328,-0.00439510484557569,-0.0436697370789183,0.173224183877125,0.0619406248507297,-0.0966068733505992,0.0246056448408696,0.000730092238589896,0.100197526709683,-0.00112841331081888,0.193654614358735,-0.11328990638488,0.130051615614549,0.0179557968025275,0.221221816039358,-0.0607716013560591,-0.0866733130356402,0.105075782979526,0.0596176479948503,0.106041631688592
"Retention_Max50.RngHiBin",-0.0663355528989209,0.0200460937738742,0.125056384648826,0.0731847507277031,0.0313580697833694,-0.0302507944437067,-0.124079577553088,-0.00808192502604841,-0.156953896766608,-0.00424461321402775,0.0620187245220215,0.136382949881413,0.0929438578015223,-0.00374842958098156,-0.0439985956499158,-0.163998584374458,0.120184443129703,-0.0242455160693968,-0.01533833040997,-0.13869179774427,-0.0396801546770501,0.0308175976542149,-0.0216821734078829,-0.0313733197670566,-0.107248316781607,0.169235256830101,-0.0484137632776744,-0.0265196491106412,-0.0394085787568082,0.0132932334251126,-0.0211653488677119,0.151787826399135,0.0367019938878785,0.109310687292732,0.111386083448702,-0.0156261881261172,-0.0312649064703688,0.089894860451992,-0.176840285258489,-0.087746204506215,0.0442598945742141,0.183357702384405,-0.0638313779274092,0.0157523351307796,-0.085192245872593,-0.0357487738405182,-0.0580104682353945,-0.0741212527122057,0.00695693505696639,-0.133977836231116,0.0056993666566246,-0.0480851393073428,-0.0687713268906716,-0.0155690685429347,-0.0527549429072457,-0.149028688313096,-0.0754767648073507,-0.0962941406413521,-0.0881754705443098,-0.015251720932589,0.136642392350356,-0.0548514590183049,0.166318919189164,0.0083783748091776,-0.0207269219275911,-0.0376994459394338,0.0475368706787725,0.0829259675567655,0.119280538274149,-0.0630335854869578,0.115289975757006,-0.151130197699036,0.0635187867590493,0.0487217790602605,0.0352791394559657,-0.0962674303919175,0.100051706021456,-0.0520299011987477
