Tube,Mouse,Slice,Punch,photos,notes,Date,ready.time,start.time,end.time,Slice.collector,Punch.Collector,SliceSize,Punchsize,punch.location,RNAisolationdate,RNAisolator,slice.location,best location,jobnumber,RNAseqID,Mouse-short,Random,storagebox,year,Purpose,region
CV,15-141E,3,CA2,,,6/12/15,NA,NA,NA,MK,RMH,300,250,outside cell body,20-Jun,RMH,,,,,141E,,,2015,Collaboratorium,
CW,15-141E,4,CA2,,,6/12/15,NA,NA,NA,MK,RMH,300,250,outside cell body,21-Jun,RMH,,,,,141E,,,2015,Collaboratorium,
CX,15-141E,1,CA1,,,6/12/15,NA,NA,NA,MK,RMH,300,250,outside cell body,14-Jun,RMH,,,,,141E,,,2015,Collaboratorium,
CY,15-141E,2,CA1,,,6/12/15,NA,NA,NA,MK,RMH,300,250,outside cell body,15-Jun,RMH,,,,,141E,,,2015,Collaboratorium,
CZ,15-141E,3,CA1,,,6/12/15,NA,NA,NA,MK,RMH,300,250,outside cell body,16-Jun,RMH,,,,,141E,,,2015,Collaboratorium,
DA,15-141E,4,CA1,,,6/12/15,NA,NA,NA,MK,RMH,300,250,outside cell body,17-Jun,RMH,,,,,141E,,,2015,Collaboratorium,
DC,15-142E,2,DG,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,2-Jul,RMH,,,,,142E,,,2015,Collaboratorium,
DD,15-142E,2,other,,CA1 CA2 CA3,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6-Jul,RMH,,,,,142E,,,2015,Collaboratorium,
DE,15-142E,3,DG,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,3-Jul,RMH,,,,,142E,,,2015,Collaboratorium,
DF,15-142E,1,CA1,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,25-Jun,RMH,,,,,142E,,,2015,Collaboratorium,
DG,15-142E,1,DG,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,4-Jul,RMH,,,,,142E,,,2015,Collaboratorium,
DH,15-142E,3,CA1,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,26-Jun,RMH,,,,,142E,,,2015,Collaboratorium,
DI,15-142E,3,CA3,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,30-Jun,RMH,,,,,142E,,,2015,Collaboratorium,
DJ,15-142E,3,CA2,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,28-Jun,RMH,,,,,142E,,,2015,Collaboratorium,
DK,15-142E,4,DG,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,5-Jul,RMH,,,,,142E,,,2015,Collaboratorium,
DL,15-142E,4,CA3,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,1-Jul,RMH,,,,,142E,,,2015,Collaboratorium,
DM,15-142E,4,CA2,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,29-Jun,RMH,,,,,142E,,,2015,Collaboratorium,
DN,15-142E,4,CA1,,,6/14/15,NA,NA,NA,MK,RMH,300,250,outside cell body,27-Jun,RMH,,,,,142E,,,2015,Collaboratorium,
DP,15-140A,1,DG,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,RMH,,,,,140A,,,2015,Collaboratorium,
DQ,15-140A,1,CA1,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/28/15,RMH,,,,,140A,,,2015,Collaboratorium,
DR,15-140A,1,CA3,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,RMH,,,,,140A,,,2015,Collaboratorium,
DS,15-140A,1,CA2,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,RMH,,,,,140A,,,2015,Collaboratorium,
DT,15-140A,2,DG,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,RMH,,,,,140A,,,2015,Collaboratorium,
DU,15-140A,3,DG,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,RMH,,,,,140A,,,2015,Collaboratorium,
DV,15-140A,3,CA1,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,RMH,,,,,140A,,,2015,Collaboratorium,
DX,15-140A,2,CA1,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,RMH,,,,,140A,,,2015,Collaboratorium,
DY,15-140A,2,CA3,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/28/15,RMH,,,,,140A,,,2015,Collaboratorium,
DZ,15-140A,3,CA3,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,RMH,,,,,140A,,,2015,Collaboratorium,
