Tube,Mouse,Slice,Punch,photos,notes,Date,ready.time,start.time,end.time,Slice.collector,Punch.Collector,SliceSize,Punchsize,punch.location,RNAisolationdate,RNAisolator,slice.location,best location,jobnumber,RNAseqID,Mouse-short,Random,storagebox,year,Purpose,region
SN,15-146C,4,CA4,slice photos,no visual,7/24/15,NA,10:45,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,,,146C,,,2015,Collaboratorium,
SO,15-146C,1,DG,slice photos,no visual,7/24/15,NA,10:45,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,146C,,,2015,Collaboratorium,
SP,15-146C,2,DG,slice photos,,7/24/15,NA,10:45,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,146C,,,2015,Collaboratorium,
SQ,15-146C,3,DG,slice photos,,7/24/15,NA,10:45,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,146C,,,2015,Collaboratorium,
SR,15-146C,4,DG,slice photos,no visual,7/24/15,NA,10:45,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,JA16---,146C-DG-4,146C,4,,2015,Collaboratorium,
SS,15-146D,1,CA3,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,146D,,,2015,Collaboratorium,
ST,15-146D,2,CA3,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,,,,146D,,,2015,Collaboratorium,
SU,15-146D,3,CA3,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,JA16---,146D-CA3-3,146D,54,,2015,Collaboratorium,
SV,15-146D,4,CA3,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,146D,,,2015,Collaboratorium,
SW,15-146D,1,CA2,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,146D,,,2015,Collaboratorium,
SX,15-146D,2,CA2,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,,,,146D,,,2015,Collaboratorium,
SY,15-146D,3,CA2,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,,,146D,,,2015,Collaboratorium,
SZ,15-146D,4,CA2,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,146D,,,2015,Collaboratorium,
TA,15-146D,1,CA1,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,146D,,,2015,Collaboratorium,
TB,15-146D,2,CA1,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,,,,146D,,,2015,Collaboratorium,
TC,15-146D,3,CA1,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,JA16---,146D-CA1-3,146D,36,,2015,Collaboratorium,
TD,15-146D,4,CA1,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,146D,,,2015,Collaboratorium,
TE,15-146D,1,DG,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,146D,,,2015,Collaboratorium,
TF,15-146D,2,DG,slice photos,*could have punch TJ in it,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,,,,146D,,,2015,Collaboratorium,
TG,15-146D,3,DG,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,JA16---,146D-DG-3,146D,66,,2015,Collaboratorium,
TH,15-146D,4,DG,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,146D,,,2015,Collaboratorium,
TI,15-146D,1,CA4,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,146D,,,2015,Collaboratorium,
TJ,15-146D,2,CA4,slice photos,*not certain this punch is in TJ. Could be in TF,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,,,,146D,,,2015,Collaboratorium,
TK,15-146D,3,CA4,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,,,146D,,,2015,Collaboratorium,
TL,15-146D,4,CA4,slice photos,,7/24/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,146D,,,2015,Collaboratorium,
TM,15-147A,1,CA1,slice photos,,7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,77,,,,147A,,,2015,Collaboratorium,
TN,15-147A,2,CA1,slice photos,,7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147A,,,2015,Collaboratorium,
TO,15-147A,3,CA1,slice photos,,7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,69,,,,147A,,,2015,Collaboratorium,
TP,15-147A,4,CA1,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,147A,,,2015,Collaboratorium,
TQ,15-147A,1,DG,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,77,,,,147A,,,2015,Collaboratorium,
TR,15-147A,2,DG,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147A,,,2015,Collaboratorium,
TS,15-147A,3,DG,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,69,,,,147A,,,2015,Collaboratorium,
TU,15-147A,4,DG,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,147A,,,2015,Collaboratorium,
TV,15-147A,1,CA4,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,77,,,,147A,,,2015,Collaboratorium,
TW,15-147A,2,CA4,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147A,,,2015,Collaboratorium,
TX,15-147A,3,CA4,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,69,,,,147A,,,2015,Collaboratorium,
TY,15-147A,4,CA4,slice photos,mangled it!!,7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,147A,,,2015,Collaboratorium,
TZ,15-147A,1,CA3,slice photos,,7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,77,,,,147A,,,2015,Collaboratorium,
UA,15-147A,2,CA3,slice photos,,7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147A,,,2015,Collaboratorium,
UB,15-147A,3,CA3,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,69,,,,147A,,,2015,Collaboratorium,
UC,15-147A,4,CA3,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,147A,,,2015,Collaboratorium,
UD,15-147A,1,CA2,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,77,,,,147A,,,2015,Collaboratorium,
UE,15-147A,2,CA2,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147A,,,2015,Collaboratorium,
UF,15-147A,3,CA2,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,69,,,,147A,,,2015,Collaboratorium,
UG,15-147A,4,CA2,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,10:30,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,147A,,,2015,Collaboratorium,
UH,15-147B,1,CA3,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147B,,,2015,Collaboratorium,
UI,15-147B,2,CA3,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,73,,,,147B,,,2015,Collaboratorium,
UJ,15-147B,3,CA3,slice photos,cell layer not very clear,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147B,,,2015,Collaboratorium,
UK,15-147B,4,CA3,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147B,,,2015,Collaboratorium,
UL,15-147B,1,CA4,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147B,,,2015,Collaboratorium,
UM,15-147B,2,CA4,slice photos,no visual confirmation (maybe too much light to see),7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,73,,,,147B,,,2015,Collaboratorium,
UN,15-147B,3,CA4,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147B,,,2015,Collaboratorium,
UO,15-147B,4,CA4,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147B,,,2015,Collaboratorium,
UP,15-147B,1,DG,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147B,,,2015,Collaboratorium,
UQ,15-147B,2,DG,slice photos,mangled it!!,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,73,,,,147B,,,2015,Collaboratorium,
UR,15-147B,3,DG,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147B,,,2015,Collaboratorium,
US,15-147B,4,DG,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147B,,,2015,Collaboratorium,
UT,15-147B,1,CA1,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147B,,,2015,Collaboratorium,
UU,15-147B,2,CA1,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,73,,,,147B,,,2015,Collaboratorium,
UV,15-147B,3,CA1,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147B,,,2015,Collaboratorium,
UW,15-147B,4,CA1,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147B,,,2015,Collaboratorium,
UX,15-147B,1,CA2,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147B,,,2015,Collaboratorium,
UY,15-147B,2,CA2,slice photos,,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,73,,,,147B,,,2015,Collaboratorium,
UZ,15-147B,3,CA2,slice photos,has 2 punches,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147B,,,2015,Collaboratorium,
VA,15-147B,4,CA2,slice photos,no visual confirmation,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147B,,,2015,Collaboratorium,
VB,15-147B,1,Pr,slice photos,piroform cortex. Control huntington region,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147B,,,2015,Collaboratorium,
VC,15-147B,2,Pr,slice photos,piroform cortex. Control huntington region,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,73,,,,147B,,,2015,Collaboratorium,
VD,15-147B,3,Pr,slice photos,piroform cortex. Control huntington region,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147B,,,2015,Collaboratorium,
VE,15-147B,4,Pr,slice photos,piroform cortex. Control huntington region,7/25/15,NA,4:30,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,147B,,,2015,Collaboratorium,
VF,15-321,1,DG,,"very ventral,",7/27/15,NA,,NA,JMA,RMH,??,250,Centered on cell layer,,,88,,,,321,,,2015,Collaboratorium,
VG,15-321,2,DG,slice photos,"very ventral, 2 punches, part of first lost",7/27/15,NA,,NA,JMA,RMH,??,250,Centered on cell layer,,,87,87,,,321,,,2015,Collaboratorium,
VH,15-321,2,CA1,,"very ventral,",7/27/15,NA,,NA,JMA,RMH,??,250,Centered on cell layer,,,88,,,,321,,,2015,Collaboratorium,
VI,15-321,1,CA1,slice photos,"very ventral,",7/27/15,NA,,NA,JMA,RMH,??,250,Centered on cell layer,,,87,87,,,321,,,2015,Collaboratorium,
VJ,15-147,1,CA1,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,82,,,,147,,,2015,Collaboratorium,
VK,15-147,2,CA1,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,74,,,,147,,,2015,Collaboratorium,
VL,15-147,3,CA1,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,147,,,2015,Collaboratorium,
VM,15-147,4,CA1,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,JA16---,147-CA1-4,147,57,,2015,Collaboratorium,
VN,15-147,1,DG,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,82,,,,147,,,2015,Collaboratorium,
VO,15-147,2,DG,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,74,,,,147,,,2015,Collaboratorium,
VP,15-147,3,DG,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,147,,,2015,Collaboratorium,
VQ,15-147,4,DG,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,JA16---,147-DG-4,147,75,,2015,Collaboratorium,
VR,15-147,1,CA4,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,82,,,,147,,,2015,Collaboratorium,
VS,15-147,2,CA4,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,74,,,,147,,,2015,Collaboratorium,
VT,15-147,3,CA4,slice photos,"has some DG, I think",7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,147,,,2015,Collaboratorium,
VV,15-147,1,CA2,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,82,,,,147,,,2015,Collaboratorium,
VW,15-147,2,CA2,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,74,,,,147,,,2015,Collaboratorium,
VX,15-147,3,CA2,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,147,,,2015,Collaboratorium,
VY,15-147,4,CA2,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,,,147,,,2015,Collaboratorium,
VZ,15-147,1,CA3,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,82,,,,147,,,2015,Collaboratorium,
WA,15-147,2,CA3,slice photos,no visual confirmation,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,74,,,,147,,,2015,Collaboratorium,
WB,15-147,3,CA3,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,147,,,2015,Collaboratorium,
WC,15-147,4,CA3,slice photos,,7/27/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,75,75,JA16---,147-CA3-4,147,13,,2015,Collaboratorium,
WD,15-148,1,CA4,slice photos,no visual confirmation,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,148,,,2015,Collaboratorium,
WE,15-148,2,CA4,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,77,77,,,148,,,2015,Collaboratorium,
WF,15-148,3,CA4,slice photos,no visual confirmation,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,79,,,,148,,,2015,Collaboratorium,
WG,15-148,4,CA4,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,85,,,,148,,,2015,Collaboratorium,
WH,15-148,1,CA3,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,148,,,2015,Collaboratorium,
WI,15-148,2,CA3,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,77,77,JA16---,148-CA3-2,148,65,,2015,Collaboratorium,
WJ,15-148,3,CA3,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,79,,,,148,,,2015,Collaboratorium,
WK,15-148,4,CA3,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,85,,,,148,,,2015,Collaboratorium,
WM,15-148,1,CA2,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,148,,,2015,Collaboratorium,
WN,15-148,2,CA2,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,77,77,,,148,,,2015,Collaboratorium,
WO,15-148,3,CA2,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,79,,,,148,,,2015,Collaboratorium,
WP,15-148,4,CA2,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,85,,,,148,,,2015,Collaboratorium,
WQ,15-148,1,CA1,slice photos,no visual confirmation,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,148,,,2015,Collaboratorium,
WR,15-148,1,CA1,slice photos,2nd punch is a little to the right of first,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,148,,,2015,Collaboratorium,
WS,15-148,2,CA1,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,77,77,JA16---,148-CA1-2,148,5,,2015,Collaboratorium,
WT,15-148,4,CA1,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,79,,,,148,,,2015,Collaboratorium,
WU,15-148,3,CA1,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,85,,,,148,,,2015,Collaboratorium,
WV,15-148,1,DG,slice photos,no visual confirmation,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,72,,,,148,,,2015,Collaboratorium,
WW,15-148,2,DG,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,77,77,JA16---,148-DG-2,148,15,,2015,Collaboratorium,
WX,15-148,3,DG,slice photos,no visual confirmation,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,79,,,,148,,,2015,Collaboratorium,
WY,15-148,4,DG,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,85,,,,148,,,2015,Collaboratorium,
WZ,15-148,2,Pr,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,,,,,148,,,2015,Collaboratorium,
XA,15-148,3,Pr,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,79,,,,148,,,2015,Collaboratorium,
XB,15-148,4,Pr,slice photos,,7/28/15,NA,,NA,MK,RMH,300,250,Centered on cell layer,,,85,,,,148,,,2015,Collaboratorium,
XC,15-147C,1,DG,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,68,,,,147C,,,2015,Collaboratorium,
XD,15-147C,2,DG,slice photos,no visual confirmation,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,78,,,,147C,,,2015,Collaboratorium,
XE,15-147C,3,DG,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,75,75,JA16---,147C-DG-3,147C,26,,2015,Collaboratorium,
XF,15-147C,4,DG,slice photos,no visual confirmation,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,72,,,,147C,,,2015,Collaboratorium,
XG,15-147C,1,CA3,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,68,,,,147C,,,2015,Collaboratorium,
XH,15-147C,2,CA3,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,78,,,,147C,,,2015,Collaboratorium,
XI,15-147C,3,CA3,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,75,75,JA16---,147C-CA3-3,147C,61,,2015,Collaboratorium,
XJ,15-147C,4,CA3,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,72,,,,147C,,,2015,Collaboratorium,
XK,15-147C,2,CA1,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,78,,,,147C,,,2015,Collaboratorium,
XL,15-147C,3,CA1,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,75,75,JA16---,147C-CA1-3,147C,46,,2015,Collaboratorium,
XM,15-147C,4,CA1,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,72,,,,147C,,,2015,Collaboratorium,
XN,15-147C,2,CA2,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,78,,,,147C,,,2015,Collaboratorium,
XO,15-147C,3,CA2,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,75,75,,,147C,,,2015,Collaboratorium,
XP,15-147C,4,CA2,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,72,,,,147C,,,2015,Collaboratorium,
XQ,15-147C,2,CA4,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,78,,,,147C,,,2015,Collaboratorium,
XR,15-147C,3,CA4,slice photos,,7/29/15,NA,11:21,NA,MK,RMH,300,500,Centered on cell layer,,,75,75,,,147C,,,2015,Collaboratorium,
XT,15-310,1,CA3,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,72,,,,310,,,2015,students,
XU,15-310,2,CA3,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,79,,,,310,,,2015,students,
XV,15-310,3,CA3,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,78,78,,,310,,,2015,students,
XW,15-310,1,CA2,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,72,,,,310,,,2015,students,
XX,15-310,2,CA2,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,79,,,,310,,,2015,students,
XY,15-310,3,CA2,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,78,78,,,310,,,2015,students,
XZ,15-310,1,CA1?,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,72,,,,310,,,2015,students,
YA,15-310,2,CA1,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,79,,,,310,,,2015,students,
YB,15-310,3,CA1?,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,,,,,310,,,2015,students,
YC,15-310,1,DG,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,72,,,,310,,,2015,students,
YD,15-310,2,DG,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,79,,,,310,,,2015,students,
YE,15-310,3,DG,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,78,78,,,310,,,2015,students,
YF,15-310,1,CA4,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,72,,,,310,,,2015,students,
YG,15-310,2,CA4,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,79,,,,310,,,2015,students,
YH,15-310,3,CA4,slice photos,,7/29/15,NA,NA,NA,JMA,RMH,??,250,Centered on cell layer,,,78,78,,,310,,,2015,students,
YI,15-147D,1,CA3,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,JA16---,147D-CA3-1,147D,27,,2015,Collaboratorium,
YJ,15-147D,2,CA3,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,147D,,,2015,Collaboratorium,
YK,15-147D,4,CA3,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147D,,,2015,Collaboratorium,
YL,15-147D,5,CA3,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147D,,,2015,Collaboratorium,
YM,15-147D,1,DG,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,JA16---,147D-DG-1,147D,17,,2015,Collaboratorium,
YN,15-147D,2,DG,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,147D,,,2015,Collaboratorium,
YO,15-147D,4,DG,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147D,,,2015,Collaboratorium,
YP,15-147D,5,DG,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147D,,,2015,Collaboratorium,
YQ,15-147D,1,CA1,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,JA16---,147D-CA1-1,147D,22,,2015,Collaboratorium,
YR,15-147D,2,CA1,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,147D,,,2015,Collaboratorium,
YS,15-147D,4,CA1,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147D,,,2015,Collaboratorium,
YT,15-147D,5,CA1,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147D,,,2015,Collaboratorium,
YU,15-147D,1,CA2,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,,,147D,,,2015,Collaboratorium,
YV,15-147D,2,CA2,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,147D,,,2015,Collaboratorium,
YZ,15-147D,4,CA2,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147D,,,2015,Collaboratorium,
ZA,15-147D,5,CA2,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147D,,,2015,Collaboratorium,
ZB,15-147D,1,CA4,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,74,74,,,147D,,,2015,Collaboratorium,
ZC,15-147D,2,CA4,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,70,,,,147D,,,2015,Collaboratorium,
ZD,15-147D,4,CA4,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,78,,,,147D,,,2015,Collaboratorium,
ZE,15-147D,5,CA4,slice photos,,7/29/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,76,,,,147D,,,2015,Collaboratorium,
ZF,15-148A,1,CA4,slice photos,,7/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,79,,,,148A,,,2015,Collaboratorium,
ZG,15-148A,2,CA4,slice photos,,7/30/15,NA,NA,NA,MK,RMH,300,250,Centered on cell layer,,,69,,,,148A,,,2015,Collaboratorium,
