Tube,RNAseqID,Paradigm,Mouse,Behavior,E.phy,Punch,Slice,best.location,jobnumber,Random
NX,145A-CA3-2,Training + Conflict,15-145A,Good,Yes,CA3,2,2,JA16---,45
OA,145A-DG-2,Training + Conflict,15-145A,Good,Yes,DG,2,2,JA16---,53
OP,145B-CA1-1,Yoked + Conflict,15-145B,Good,Yes,CA1,1,75,JA16---,14
OS,145B-CA3-1,Yoked + Conflict,15-145B,Good,Yes,CA3,1,75,JA16---,29
OV,145B-DG-1,Yoked + Conflict,15-145B,Good,Yes,DG,1,75,JA16---,39
RS,146A-CA1-2,Training + Conflict,15-146A,Good,Yes,CA1,2,75,JA16---,23
RM,146A-CA3-2,Training + Conflict,15-146A,Good,Yes,CA3,2,75,JA16---,25
RJ,146A-DG-2,Training + Conflict,15-146A,Good,Yes,DG,2,75,JA16---,28
RB,146B-CA1-2,Yoked + Conflict,15-146B,Good,Yes,CA1,2,75,JA16---,43
QO,146B-CA3-2,Yoked + Conflict,15-146B,Good,Yes,CA3,2,75,JA16---,24
RF,146B-DG-2,Yoked + Conflict,15-146B,Good,Yes,DG,2,75,JA16---,41
SB,146C-CA1-4,Training + Training,15-146C,Good,Yes,CA1,4,74,JA16---,38
SF,146C-CA3-4,Training + Training,15-146C,Good,Yes,CA3,4,74,JA16---,70
SR,146C-DG-4,Training + Training,15-146C,Good,Yes,DG,4,74,JA16---,4
TC,146D-CA1-3,Yoked + Training,15-146D,Good,Yes,CA1,3,74,JA16---,36
SU,146D-CA3-3,Yoked + Training,15-146D,Good,Yes,CA3,3,74,JA16---,54
TG,146D-DG-3,Yoked + Training,15-146D,Good,Yes,DG,3,74,JA16---,66
VM,147-CA1-4,No Training,15-147,Cage,Yes,CA1,4,75,JA16---,57
WC,147-CA3-4,No Training,15-147,Cage,Yes,CA3,4,75,JA16---,13
VQ,147-DG-4,No Training,15-147,Cage,Yes,DG,4,75,JA16---,75
XL,147C-CA1-3,Training + Training,15-147C,Good,Yes,CA1,3,75,JA16---,46
XI,147C-CA3-3,Training + Training,15-147C,Good,Yes,CA3,3,75,JA16---,61
XE,147C-DG-3,Training + Training,15-147C,Good,Yes,DG,3,75,JA16---,26
YQ,147D-CA1-1,Yoked + Training,15-147D,Good,Yes,CA1,1,74,JA16---,22
YI,147D-CA3-1,Yoked + Training,15-147D,Good,Yes,CA3,1,74,JA16---,27
YM,147D-DG-1,Yoked + Training,15-147D,Good,Yes,DG,1,74,JA16---,17
WS,148-CA1-2,No Training,15-148,Cage,Yes,CA1,2,77,JA16---,5
WI,148-CA3-2,No Training,15-148,Cage,Yes,CA3,2,77,JA16---,65
WW,148-DG-2,No Training,15-148,Cage,Yes,DG,2,77,JA16---,15
AAD,148A-CA1-3,Training + Conflict,15-148A,Good,Yes,CA1,3,75,JA16---,56
ZN,148A-CA3-3,Training + Conflict,15-148A,Good,Yes,CA3,3,75,JA16---,12
AAA,148A-DG-3,Training + Conflict,15-148A,Good,Yes,DG,3,75,JA16---,42
ABE,148B-CA1-4,Yoked + Conflict,15-148B,Good,Yes,CA1,4,75,JA16---,49
ABA,148B-CA3-4,Yoked + Conflict,15-148B,Good,Yes,CA3,4,75,JA16---,8
ABM,148B-DG-4,Yoked + Conflict,15-148B,Good,Yes,DG,4,75,JA16---,52
