ID,Year,Genotype,TrainProtocol,TrainSequence,TrainGroup,Day,TrainSession,ShockOnOff,PairedPartner,Experimenter,Housing,TestLocation,genoYear,APA,genoAPA,TrainSessionCombo,genoAPATrainSessionCombo,genoAPATrainSessionComboInd,pair1,pair2,TotalPathArena.m,SpeedArena.cm.s,SdevSpeedArena.,Linearity.Arena.,NumEntrances,Time1stEntr,Path1stEntr,Speed1stEntr.cm.s.,Dist1stEntr.m.,NumShock,MaxTimeAvoid,Time2ndEntr,Path2ndEntr,Speed2ndEntr,TimeTarget,pTimeTarget,pTimeCCW,pTimeOPP,pTimeCW,RayleigLength,RayleigAngle,PolarAvgVal,PolarSdVal,PolarMinVal,PolarMinBin,Min50.RngLoBin,Min50.RngHiBin,PolarMaxVal,PolarMaxBin,Max50.RngLoBin,Max50.RngHiBin,AnnularMinVal,AnnularMinBin,AnnularMaxVal,AnnularMaxBin,AnnularAvg,AnnularSd,AnnularSkewnes,AnnularKurtosis,Speed1,Speed2,EntrShockDiff
16-117A,2016,FMR1KO,3-day,train-train,trained,1,T3,On,16-117B,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_trained,FMR1KO_trained_trained,T3,FMR1KO_trained_trained_T3,_16-117A,16-117A_,16-117B_,13.78,2.3,2.9,0.3103,5,64.37,1.17,1.71,0.33,7,191,206.93,4.36,1.39,8.067,0.02,0.4252,0.4288,0.1261,0.53,144.79,227.61,64.4,6.00E-04,0,170,100,0.0785,120,90,190,0.0014,3.1,0.4872,14.5,14.6,8.58,2.59,15.18,0.018176169,0.021069927,2
16-117A,2016,FMR1KO,3-day,train-train,trained,4,Retention,Off,16-117B,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_trained,FMR1KO_trained_trained,Retention,FMR1KO_trained_trained_Retention,_16-117A,16-117A_,16-117B_,12.6,2.1,1.98,0.3835,5,214.27,4.84,6.37,0.35,13,222,234.57,5.19,2.49,24.934,0.0677,0.1789,0.4729,0.2804,0.43,193.36,235.76,82.86,0.005,340,250,170,0.0747,220,150,260,0.0087,15.8,0.2651,11.5,11.3,20.37,1.1,3.86,0.022588323,0.022125592,8
16-119A,2016,FMR1KO,3-day,train-train,trained,2,Retest,On,16-119B,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_trained,FMR1KO_trained_trained,Retest,FMR1KO_trained_trained_Retest,_16-119A,16-119A_,16-119B_,11,1.83,2.19,0.3133,5,111.77,2.28,1.65,0.36,5,234,135.37,2.88,1.86,4.632,0.0126,0.6182,0.3487,0.0205,0.73,121.72,211.23,46.43,1.00E-04,0,150,110,0.1007,140,90,160,0.0055,3.1,0.5494,15.8,14.7,12.2,2.95,14.63,0.020399034,0.021275024,0
16-116C,2016,FMR1KO,3-day,train-conflict,trained,1,T2,On,16-116D,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T2,FMR1KO_trained_conflict_T2,_16-116C,16-116C_,16-116D_,9.04,1.51,2.02,0.2456,5,43.97,0.68,1.35,0.38,5,355,47.7,0.77,3.08,5.301,0.0127,0.3183,0.6024,0.0667,0.66,148.2,228.54,54.25,1.00E-04,350,180,130,0.0862,160,110,190,1.00E-04,16.9,0.4575,14.5,13.69,12.44,2.26,10.44,0.01546509,0.016142558,0
16-116C,2016,FMR1KO,3-day,train-conflict,trained,2,C2,On,16-116D,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T5_C2,FMR1KO_trained_conflict_T5_C2,_16-116C,16-116C_,16-116D_,9.72,1.62,2.23,0.2058,5,2.2,0.11,11.73,0.35,6,433,22.3,0.71,1.83,7.498,0.0135,0.0643,0.3595,0.5627,0.57,225.54,138.9,61.28,3.00E-04,0,260,200,0.0741,250,180,270,0.0071,16.9,0.4663,15.8,14.11,18.73,2.25,8.33,0.05,0.031838565,1
16-118C,2016,FMR1KO,3-day,train-conflict,trained,1,T1,On,16-118D,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T1,FMR1KO_trained_conflict_T1,_16-118C,16-118C_,16-118D_,12.04,2.01,2.1,0.3356,5,9.43,0.34,10.58,0.37,5,260,48.67,0.78,2.07,3.632,0.0093,0.1547,0.5165,0.3194,0.54,200.35,249.18,72.09,4.00E-04,10,250,190,0.0723,190,170,260,0.0279,7.5,0.547,14.5,13.52,19.27,2.6,9.59,0.036055143,0.0160263,0
16-119D,2016,FMR1KO,3-day,train-conflict,trained,1,T1,On,NA,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T1,FMR1KO_trained_conflict_T1,_16-119D,16-119D_,NA_,11.2,1.87,2.21,0.3214,5,12.3,0.37,6.18,0.35,5,253,110.8,2.36,1.53,4.235,0.0109,0.324,0.6131,0.052,0.7,150.72,234.39,50.63,1.00E-04,0,170,120,0.088,160,110,190,0.0038,3.1,0.4587,14.5,14.78,9.44,3.99,27.8,0.030081301,0.021299639,0
16-119D,2016,FMR1KO,3-day,train-conflict,trained,1,T2,On,NA,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T2,FMR1KO_trained_conflict_T2,_16-119D,16-119D_,NA_,10.2,1.7,2.33,0.27,5,10.3,0.17,1.77,0.35,5,364,58.53,1.21,5.64,4.467,0.0117,0.6153,0.3651,0.0079,0.72,120.76,211.25,45.99,1.00E-04,340,140,90,0.089,130,80,160,0.0018,3.1,0.6073,15.8,15.29,8.1,3.75,31.23,0.016504854,0.020673159,0
16-120C,2016,FMR1KO,3-day,train-conflict,trained,1,T2,On,16-120D,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T2,FMR1KO_trained_conflict_T2,_16-120C,16-120C_,16-120D_,12.42,2.07,2.37,0.3174,5,57,1.04,1.55,0.32,5,227,284.5,7.17,9.68,6.1,0.0155,0.2861,0.596,0.1024,0.62,159.15,240.18,56.63,2.00E-04,310,190,130,0.0712,160,120,210,0.0074,3.1,0.38,14.5,13.63,14.25,1.62,6.04,0.018245614,0.025202109,0
16-120C,2016,FMR1KO,3-day,train-conflict,trained,2,C3,On,16-120D,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T6_C3,FMR1KO_trained_conflict_T6_C3,_16-120C,16-120C_,16-120D_,14.63,2.44,2.52,0.3618,5,0.53,NA,NA,0.3,7,220,68.47,1.73,1.22,12.833,0.024,0.3396,0.3478,0.2886,0.32,143.97,163.2,114.95,0.0015,10,170,60,0.0599,80,40,170,0.0419,7.5,0.3801,14.5,12.99,20.37,1.99,7.1,NA,0.02526654,2
bl11,2013,WT,2-day,train,trained,2,Retest,On,NA,JuanMarcos,AnimalRoom,MBL,WT_2013,trained,WT_trained,Retest,WT_trained_Retest,_bl11,bl11_,NA_,17.95,2.99,3.42,0.3577,6,23.7,0.88,7.41,0.32,10,212,60.33,2.39,6.16,19.134,0.0484,0.1017,0.68,0.1699,0.67,196.87,266.55,57.98,9.00E-04,40,230,190,0.1013,200,170,240,0.0011,11.1,0.4856,16.6,17.06,5.47,0.99,5.88,0.037130802,0.039615448,4
bl19,2013,WT,2-day,train,trained,1,T1,On,NA,JuanMarcos,AnimalRoom,MBL,WT_2013,trained,WT_trained,T1,WT_trained_T1,_bl19,bl19_,NA_,16.74,2.79,2.73,0.3688,6,5.57,0.28,8.29,0.32,6,230,104.53,3.19,7.32,5.933,0.0144,0.3476,0.4827,0.1553,0.5,167.81,234.62,68.78,8.00E-04,350,210,130,0.0654,200,140,250,0.0148,8.5,0.3836,16.6,14.89,16.3,2.88,13.17,0.0502693,0.030517555,0
15140C,2015,WT,3-day,train-train,trained,1,T1,On,15140D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T1,WT_trained_trained_T1,_15140C,15140C_,15140D_,14.69,2.45,2.34,0.3655,6,1.73,0.02,2.39,0.37,6,408,70.67,1.73,5.04,6.333,0.0166,0.1955,0.5633,0.2246,0.59,180.96,250.18,60.99,1.00E-04,340,230,160,0.0697,210,120,220,0.0421,3.5,0.2551,15,13.43,20.05,0.88,3.33,0.011560694,0.024479977,0
15140C,2015,WT,3-day,train-train,trained,1,T3,On,15140D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T3,WT_trained_trained_T3,_15140C,15140C_,15140D_,13.99,2.33,2.94,0.2868,6,4.27,0.08,1.89,0.32,8,269,18.47,0.61,1.91,10.334,0.0268,0.774,0.1992,0,0.79,108.38,198.75,39.29,0,0,130,90,0.1141,120,70,140,3.00E-04,11.1,0.3241,18,17.12,10.48,0.59,2.58,0.018735363,0.03302653,2
15145C,2015,WT,3-day,train-train,trained,1,T2,On,15145D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T2,WT_trained_trained_T2,_15145C,15145C_,15145D_,15.64,2.61,2.69,0.3448,6,14.83,0.4,1.75,0.33,7,252,38.87,1.44,12.6,8,0.0208,0.5325,0.3843,0.0624,0.6,127.9,212.14,60.39,2.00E-04,0,170,110,0.0731,110,90,180,0.0038,19.4,0.3933,15,15.15,13.21,1.82,8.61,0.026972353,0.037046565,1
15140A,2015,WT,3-day,train-conflict,trained,1,T1,On,15140B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T1,WT_trained_conflict_T1,_15140A,15140A_,15140B_,19.36,3.23,2.78,0.4016,6,9.83,0.62,16.42,0.3,7,327,18.3,1.23,6.53,8.433,0.0211,0.6961,0.2049,0.0779,0.65,112.66,198.8,58.56,4.00E-04,330,130,90,0.0976,100,70,140,0.0098,19.4,0.2773,16.6,15.09,20.26,1.81,6.7,0.063072228,0.067213115,1
15145A,2015,WT,3-day,train-conflict,trained,1,T1,On,15145B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T1,WT_trained_conflict_T1,_15145A,15145A_,15145B_,14.91,2.48,2.78,0.3086,6,17.5,0.82,10.98,0.32,6,245,22.73,1.19,1.22,4.798,0.0122,0.14,0.6341,0.2136,0.62,187.87,249.44,62.69,2.00E-04,10,210,150,0.0795,210,140,230,1.00E-04,19.4,0.353,16.6,15.35,18.55,2.15,8.45,0.046857143,0.052353718,0
15145A,2015,WT,3-day,train-conflict,trained,2,Retest,On,15145B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,Retest,WT_trained_conflict_Retest,_15145A,15145A_,15145B_,20.23,3.37,4.11,0.3278,6,50,1.63,1.82,0.33,6,168,70.93,2.31,1.91,4.834,0.0108,0.9787,0.0105,0,0.9,87.19,177.22,26.19,0,0,100,80,0.1422,80,60,110,1.00E-04,3.5,0.5558,16.6,16.09,7.43,1.73,9.22,0.0326,0.03256732,0
15142B,2015,WT,3-day,train-conflict,yoked,2,Retest,On,15142A,Maddy,AnimalRoom,MBL,WT_2015,yoked_conflict,WT_yoked_conflict,Retest,WT_yoked_conflict_Retest,_15142B,15142B_,15142A_,15.41,2.57,2.86,0.3272,6,88.6,2.32,1.93,0.35,17,231,319.63,8.01,9.93,73.032,0.1805,0.1568,0.206,0.4567,0.35,271.16,179.99,125.52,0.0059,40,320,230,0.0607,300,210,330,7.00E-04,19.4,0.7281,18,17.58,5.51,1.88,8.8,0.026185102,0.025060226,11
16-122A,2016,WT,3-day,train-train,trained,3,Retention,Off,16-122B,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,Retention,WT_trained_trained_Retention,_16-122A,16-122A_,16-122B_,10.43,1.74,1.85,0.3923,6,291.2,5.32,2.57,0.45,18,291,385.83,7.89,7.41,37.101,0.0965,0.286,0.5168,0.1007,0.55,150.85,223.37,67.32,0.0041,330,170,110,0.0864,150,100,190,0.0357,15.8,0.2493,13.1,11.47,21.51,1.1,3.8,0.018269231,0.020449421,12
16-123A,2016,WT,3-day,train-train,trained,1,T1,On,16-123B,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,T1,WT_trained_trained_T1,_16-123A,16-123A_,16-123B_,11.33,1.89,1.9,0.3255,6,7.77,0.17,1.41,0.45,6,289,18.67,0.48,2.2,6.598,0.0173,0.137,0.5905,0.2552,0.6,203.44,257.38,66.11,4.00E-04,0,230,190,0.0992,220,180,250,1.00E-04,16.9,0.3026,14.5,12.87,18.4,1.23,4.38,0.021879022,0.025709695,0
16-123A,2016,WT,3-day,train-train,trained,2,T4,On,16-123B,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,T4_C1,WT_trained_trained_T4_C1,_16-123A,16-123A_,16-123B_,10.52,1.75,2.39,0.2379,6,126.23,2.58,1.18,0.42,6,210,185.63,3.84,1.59,5.131,0.013,0.3719,0.2944,0.3206,0.32,173.63,219.49,87.53,1.00E-04,0,240,130,0.0561,230,150,300,0.0028,7.5,0.5497,15.8,15.03,9.8,3.62,24.17,0.020438881,0.020686311,0
16-125A,2016,WT,3-day,train-train,trained,3,Retention,Off,16-125B,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,Retention,WT_trained_trained_Retention,_16-125A,16-125A_,16-125B_,12.31,2.05,2.27,0.3357,6,238.63,5.72,5.33,0.4,14,238,300.2,7.19,9.1,27.632,0.0691,0.3451,0.4075,0.1783,0.42,154.97,226,74.74,5.00E-04,330,190,100,0.0591,160,90,210,0.0388,3.1,0.3553,14.5,12.7,20.86,1.36,4.34,0.023970163,0.0239507,8
16-126A,2016,WT,3-day,train-train,trained,1,T1,On,16-126B,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,T1,WT_trained_trained_T1,_16-126A,16-126A_,16-126B_,9.95,1.66,1.54,0.3103,6,6.97,0.28,4.64,0.51,6,178,72.6,1.68,1.29,9.799,0.024,0.243,0.478,0.2549,0.48,184.42,242.44,73.17,4.00E-04,0,240,160,0.0627,190,150,260,0.0045,15.8,0.2548,3.1,8.61,26.02,0.4,2.4,0.040172166,0.023140496,0
16-126A,2016,WT,3-day,train-train,trained,2,T4,On,16-126B,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,T4_C1,WT_trained_trained_T4_C1,_16-126A,16-126A_,16-126B_,13.25,2.21,2.75,0.2783,6,13.63,0.2,1.48,0.35,6,197,126.17,2.85,1.9,10.268,0.0272,0.3071,0.3912,0.2746,0.41,177,241.21,73.16,4.00E-04,330,240,150,0.0633,230,150,270,0.0123,7.5,0.3893,14.5,13.86,15.6,2.57,12.64,0.014673514,0.022588571,0
16-126B,2016,WT,3-day,train-train,yoked,2,T6,On,16-126A,Maddy,AnimalRoom,MBL,WT_2016,yoked_trained,WT_yoked_trained,T6_C3,WT_yoked_trained_T6_C3,_16-126B,16-126B_,16-126A_,12.59,2.1,2.62,0.3086,6,33.4,0.62,1.73,0.34,17,166,100.7,2.21,1.86,37.767,0.093,0.2409,0.4191,0.247,0.32,188.56,226.61,88.12,0.0087,0,250,160,0.0583,230,150,270,0.0015,16.9,0.3999,15.8,13.7,19.38,1.76,6.32,0.018562874,0.021946375,11
16-122C,2016,WT,3-day,train-conflict,trained,1,T2,On,16-122D,Maddy,AnimalRoom,MBL,WT_2016,trained_conflict,WT_trained_conflict,T2,WT_trained_conflict_T2,_16-122C,16-122C_,16-122D_,11.83,1.97,2.15,0.2936,6,39.63,0.71,1.26,0.42,7,150,186.83,3.61,1.5,9.767,0.0255,0.3838,0.5223,0.0685,0.62,139.64,223.1,57.78,3.00E-04,0,170,120,0.0847,140,110,190,0.0038,16.9,0.2654,14.5,12.18,17.7,0.99,4.35,0.01791572,0.019322379,1
16-119A,2016,FMR1KO,3-day,train-train,trained,1,T3,On,16-119B,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_trained,FMR1KO_trained_trained,T3,FMR1KO_trained_trained_T3,_16-119A,16-119A_,16-119B_,12.36,2.06,2.19,0.3473,6,63.97,1.15,1.71,0.42,6,240,83.73,1.65,1.56,5.499,0.0141,0.66,0.3075,0.0184,0.71,121.27,211.1,48.62,1.00E-04,0,130,90,0.1023,110,80,150,5.00E-04,3.1,0.4835,15.8,14.82,8.02,2.39,12.82,0.017977177,0.019706198,0
16-120A,2016,FMR1KO,3-day,train-train,trained,3,Retention,Off,NA,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_trained,FMR1KO_trained_trained,Retention,FMR1KO_trained_trained_Retention,_16-120A,16-120A_,NA_,14.26,2.38,2.35,0.3859,6,244.53,5.27,10.26,0.39,12,244,378.83,8.33,5.17,31.398,0.08,0.103,0.3989,0.418,0.58,223.33,248.39,84.17,5.00E-04,40,250,200,0.0948,240,190,270,6.00E-04,16.9,0.4011,14.5,13.31,16.52,2.11,8.46,0.021551548,0.021988755,6
16-121B,2016,FMR1KO,3-day,train-train,trained,2,T4,On,16-121A,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_trained,FMR1KO_trained_trained,T4_C1,FMR1KO_trained_trained_T4_C1,_16-121B,16-121B_,16-121A_,10.96,1.83,2.67,0.2347,6,0.83,NA,NA,0.39,6,276,27.83,1.07,15.71,4.965,0.0123,0.3316,0.6015,0.0546,0.65,154.47,239.27,52.69,2.00E-04,320,200,140,0.0783,140,130,220,0.0053,3.1,0.5177,14.5,13.71,11.81,2.37,11.38,NA,0.038447718,0
16-116C,2016,FMR1KO,3-day,train-conflict,trained,6,Retention,Off,16-116D,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,Retention,FMR1KO_trained_conflict_Retention,_16-116C,16-116C_,16-116D_,11.08,1.85,1.94,0.297,6,83.9,1.46,1.53,0.45,15,363,446.93,9.12,1.73,25.601,0.049,0.1369,0.3478,0.4663,0.34,218.41,156.72,85.29,0.0052,350,270,170,0.0616,210,190,320,0.0188,16.9,0.3514,14.5,13.96,17.66,2.45,10.49,0.017401669,0.02040588,9
16-117C,2016,FMR1KO,3-day,train-conflict,trained,1,T1,On,NA,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T1,FMR1KO_trained_conflict_T1,_16-117C,16-117C_,NA_,9.7,1.62,1.84,0.2785,6,59.2,1.42,5.11,0.46,6,250,130.57,3,2.61,6.533,0.0167,0.3706,0.4996,0.1132,0.55,148.18,228.36,64.08,2.00E-04,10,190,120,0.0753,150,100,200,0.0355,3.1,0.2869,14.5,12.26,18.12,1.39,5.35,0.023986486,0.022976181,0
16-117C,2016,FMR1KO,3-day,train-conflict,trained,1,T3,On,NA,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T3,FMR1KO_trained_conflict_T3,_16-117C,16-117C_,NA_,12.75,2.12,2.37,0.3412,6,59.67,1.2,1.41,0.39,7,336,74.5,1.77,3.12,9.166,0.0235,0.1997,0.7251,0.0517,0.68,168.62,250.76,52.03,7.00E-04,300,200,150,0.0953,170,140,220,0.0039,3.1,0.4749,14.5,14.64,9.83,3.53,21.03,0.020110608,0.023758389,1
16-119C,2016,FMR1KO,3-day,train-conflict,trained,1,T1,On,NA,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T1,FMR1KO_trained_conflict_T1,_16-119C,16-119C_,NA_,9.28,1.55,1.62,0.3044,6,0.53,NA,NA,0.52,7,260,46.43,0.86,1.73,8.464,0.0214,0.5108,0.4136,0.0542,0.61,135.95,224.06,56.85,2.00E-04,0,160,100,0.0802,110,80,170,0.0212,15.8,0.2627,11.5,10.46,27.33,1.01,2.86,NA,0.018522507,1
16-119D,2016,FMR1KO,3-day,train-conflict,trained,2,C2,On,NA,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T5_C2,FMR1KO_trained_conflict_T5_C2,_16-119D,16-119D_,NA_,10.67,1.78,2.48,0.2741,6,213.37,4.83,1.78,0.4,6,213,296.97,6.86,2.06,4.9,0.0093,0.3873,0.5613,0.0421,0.65,123.46,133.87,108.91,1.00E-04,0,170,110,0.0883,140,90,180,0.002,16.9,0.5458,14.5,14.25,9.32,4.22,33.44,0.022636734,0.023099976,0
16-121D,2016,FMR1KO,3-day,train-conflict,trained,1,T1,On,NA,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T1,FMR1KO_trained_conflict_T1,_16-121D,16-121D_,NA_,11.59,1.93,1.99,0.348,6,9.1,0.53,8.63,0.43,6,246,120.03,3.18,2.35,4.832,0.0123,0.6023,0.3337,0.0517,0.67,128.67,220.91,51.74,1.00E-04,330,150,100,0.0932,120,80,160,0.0154,15.8,0.3854,13.1,11.89,16.81,1.67,6.78,0.058241758,0.026493377,0
16-121D,2016,FMR1KO,3-day,train-conflict,trained,1,T2,On,NA,Maddy,AnimalRoom,MBL,FMR1KO_2016,trained_conflict,FMR1KO_trained_conflict,T2,FMR1KO_trained_conflict_T2,_16-121D,16-121D_,NA_,11.49,1.92,2.18,0.3197,6,56.67,1.02,1.26,0.41,6,175,78.6,1.47,2.52,4.032,0.0099,0.6835,0.2402,0.0664,0.6,115.51,207.31,59.51,0,0,130,80,0.1041,100,70,150,0.0018,3.1,0.4479,14.5,14.2,10.54,2.06,9.27,0.017998941,0.01870229,0
bl5,2013,WT,2-day,train,trained,1,T1,On,NA,JuanMarcos,AnimalRoom,MBL,WT_2013,trained,WT_trained,T1,WT_trained_T1,_bl5,bl5_,NA_,14.75,2.46,2.84,0.3195,7,8.47,0.4,18.75,0.39,7,252,31.2,1,2.31,5.732,0.0142,0.3225,0.5993,0.064,0.64,150.7,234.42,54.3,1.00E-04,350,190,130,0.0915,160,120,210,0.0046,19.4,0.4077,16.6,15.57,11.92,2.05,11.33,0.047225502,0.032051282,0
15140C,2015,WT,3-day,train-train,trained,1,T2,On,15140D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T2,WT_trained_trained_T2,_15140C,15140C_,15140D_,14.95,2.49,2.85,0.3184,7,9.8,0.2,9.37,0.38,7,288,48.47,1.06,2.04,5.766,0.0142,0.2915,0.4241,0.2702,0.45,181.11,243.45,72.57,1.00E-04,350,260,180,0.0607,200,160,270,0.0061,11.1,0.448,18,16.85,12.74,2.13,10.34,0.020408163,0.021869197,0
15140C,2015,WT,3-day,train-train,trained,2,Retest,On,15140D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,Retest,WT_trained_trained_Retest,_15140C,15140C_,15140D_,15.98,2.66,3.41,0.3059,7,17.57,0.72,1.34,0.34,10,206,29,1.17,16.91,12.901,0.031,0.211,0.5442,0.2138,0.52,183.62,246.97,68.39,0.001,10,230,160,0.0716,200,150,250,0.003,19.4,0.3993,16.6,15.95,14.95,2.3,9.84,0.040978941,0.040344828,3
15140C,2015,WT,3-day,train-train,trained,2,T5,On,15140D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T5_C2,WT_trained_trained_T5_C2,_15140C,15140C_,15140D_,15.23,2.54,2.9,0.3321,7,71.33,1.69,2.1,0.38,8,184,144.73,3.7,2.03,9.968,0.0241,0.7447,0.1949,0.0363,0.72,108.51,199.12,48.46,1.00E-04,330,120,80,0.102,90,70,140,0.0112,11.1,0.2904,18,16.01,19.31,2.37,10.02,0.023692696,0.025564845,1
15141C,2015,WT,3-day,train-train,trained,2,Retest,On,15141D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,Retest,WT_trained_trained_Retest,_15141C,15141C_,15141D_,20.36,3.39,4.03,0.2666,7,41.17,0.84,1.96,0.31,7,355,70.4,2.24,2.18,8.133,0.0196,0.2927,0.5434,0.1443,0.54,154.94,222.88,68.15,2.00E-04,10,200,130,0.0866,160,120,220,0.0035,19.4,0.495,16.6,15.68,12.5,2.55,13.39,0.020403206,0.031818182,0
15141C,2015,WT,3-day,train-train,trained,2,T5,On,15141D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T5_C2,WT_trained_trained_T5_C2,_15141C,15141C_,15141D_,13.17,2.19,2.84,0.2529,7,0.33,NA,NA,0.39,7,234,35,1.12,14,3.901,0.0095,0.3852,0.4381,0.1671,0.46,151.12,227.22,69.21,2.00E-04,0,190,100,0.0561,160,100,220,0.0102,8.5,0.4696,15,14.99,12.28,2.59,14.43,NA,0.032,0
15142A,2015,WT,3-day,train-conflict,trained,1,T1,On,15142B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T1,WT_trained_conflict_T1,_15142A,15142A_,15142B_,15.14,2.52,2.47,0.3297,7,3.83,0.29,14.99,0.41,7,220,6.6,0.66,12.19,4.668,0.0124,0.4574,0.4672,0.063,0.65,140.21,227.09,54.35,2.00E-04,350,160,110,0.0911,130,90,170,0.0292,3.5,0.266,15,14.23,19.4,1.16,4.26,0.075718016,0.1,0
15142A,2015,WT,3-day,train-conflict,trained,2,C1,On,15142B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T4_C1,WT_trained_conflict_T4_C1,_15142A,15142A_,15142B_,13.56,2.26,3.01,0.2628,7,33.77,0.84,1.75,0.39,7,322,41.87,1.1,1.91,8.499,0.0158,0.0872,0.0212,0.8758,0.66,263.5,187.07,61.36,0,140,270,240,0.1241,260,230,290,0.0023,13.2,0.5411,16.6,16.59,6.31,-0.58,2.37,0.024874149,0.026271794,0
15148A,2015,WT,3-day,train-conflict,trained,1,T1,On,15148B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T1,WT_trained_conflict_T1,_15148A,15148A_,15148B_,13.87,2.31,2.97,0.2793,7,8.73,0.28,7.73,0.36,7,266,40.13,1.38,2.69,7.266,0.0193,0.3887,0.5684,0.0235,0.7,142.71,230.71,48.14,1.00E-04,300,170,120,0.0946,140,110,190,0.0049,3.5,0.4998,18,16.7,12.88,2.43,11.91,0.03207331,0.034388238,0
15148C,2015,WT,3-day,train-conflict,trained,1,T1,On,15148D,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T1,WT_trained_conflict_T1,_15148C,15148C_,15148D_,13.33,2.22,2.47,0.3054,7,0.87,NA,NA,0.42,7,197,28.17,0.98,3.34,6.666,0.017,0.5186,0.439,0.0254,0.72,131.45,220.9,46.58,3.00E-04,320,160,120,0.0906,140,100,170,0.0197,3.5,0.2961,16.6,15.04,17.1,1.87,8,NA,0.034788782,0
15142B,2015,WT,3-day,train-conflict,yoked,2,C2,On,15142A,Maddy,AnimalRoom,MBL,WT_2015,yoked_conflict,WT_yoked_conflict,T5_C2,WT_yoked_conflict_T5_C2,_15142B,15142B_,15142A_,16.21,2.7,4.04,0.2254,7,1.03,NA,1.76,0.43,16,273,32.4,1.06,2.24,31.368,0.0589,0.1476,0.508,0.2855,0.41,177.64,140.05,87.82,0.0064,340,230,150,0.0623,200,130,240,3.00E-04,8.5,0.6433,18,17.36,5.56,2.08,11.01,NA,0.032716049,9
16-122A,2016,WT,3-day,train-train,trained,1,T2,On,16-122B,Maddy,AnimalRoom,MBL,WT_2016,trained_trained,WT_trained_trained,T2,WT_trained_trained_T2,_16-122A,16-122A_,16-122B_,8.24,1.37,2.13,0.2054,7,19.47,0.23,3.33,0.54,9,194,84.77,1.37,1.1,13.034,0.0347,0.4712,0.3793,0.1148,0.51,131.67,217.94,66.26,8.00E-04,0,150,80,0.0657,120,70,170,0.0088,16.9,0.3279,14.5,12.77,19.14,1.63,5.97,0.011813046,0.016161378,2
