ID,Year,Genotype,TrainProtocol,TrainSequence,TrainGroup,Day,TrainSession,ShockOnOff,PairedPartner,Experimenter,Housing,TestLocation,genoYear,APA,genoAPA,TrainSessionCombo,genoAPATrainSessionCombo,genoAPATrainSessionComboInd,pair1,pair2,TotalPathArena.m,SpeedArena.cm.s,SdevSpeedArena.,Linearity.Arena.,NumEntrances,Time1stEntr,Path1stEntr,Speed1stEntr.cm.s.,Dist1stEntr.m.,NumShock,MaxTimeAvoid,Time2ndEntr,Path2ndEntr,Speed2ndEntr,TimeTarget,pTimeTarget,pTimeCCW,pTimeOPP,pTimeCW,RayleigLength,RayleigAngle,PolarAvgVal,PolarSdVal,PolarMinVal,PolarMinBin,Min50.RngLoBin,Min50.RngHiBin,PolarMaxVal,PolarMaxBin,Max50.RngLoBin,Max50.RngHiBin,AnnularMinVal,AnnularMinBin,AnnularMaxVal,AnnularMaxBin,AnnularAvg,AnnularSd,AnnularSkewnes,AnnularKurtosis,Speed1,Speed2,EntrShockDiff
15142C,2015,WT,3-day,train-train,trained,1,T2,On,15142D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T2,WT_trained_trained_T2,_15142C,15142C_,15142D_,15.25,2.54,2.37,0.3686,1,454.63,11.72,3.51,NA,1,454,NA,NA,NA,0.7,0.0019,0.224,0.6767,0.0974,0.74,156.69,237.96,47.97,0,0,170,130,0.1217,150,120,190,4.00E-04,3.5,0.5109,16.6,16.29,10.18,2.39,11.25,0.025779205,NA,0
15142C,2015,WT,3-day,train-train,trained,1,T3,On,15142D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T3,WT_trained_trained_T3,_15142C,15142C_,15142D_,15.43,2.57,3.06,0.3458,1,64.83,1.16,1.82,NA,1,535,NA,NA,NA,0.767,0.0019,0.3997,0.5756,0.0227,0.81,141.95,229.63,38.24,0,0,160,130,0.1281,150,110,170,7.00E-04,19.4,0.3837,16.6,16.43,9.92,1.57,8.38,0.017892951,NA,0
15142C,2015,WT,3-day,train-train,trained,2,Retest,On,15142D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,Retest,WT_trained_trained_Retest,_15142C,15142C_,15142D_,13.72,2.29,2.23,0.3753,1,148.13,3.5,1.75,NA,1,451,NA,NA,NA,0.701,0.0017,0.1063,0.8583,0.0338,0.82,164.08,251.6,36.59,0,0,180,150,0.1398,160,130,190,3.00E-04,3.5,0.5154,16.6,16.7,6.83,2.11,15.62,0.023627894,NA,0
15143C,2015,WT,3-day,train-train,trained,1,T3,On,15143D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T3,WT_trained_trained_T3,_15143C,15143C_,15143D_,13.11,2.18,2.31,0.3188,1,306.87,7.95,5.34,NA,1,306,NA,NA,NA,0.733,0.0018,0.28,0.6767,0.0415,0.77,154.03,242.54,41.59,0,0,170,130,0.0981,140,120,190,0.0032,3.5,0.3588,16.6,16.28,10.31,2.14,11.23,0.025906736,NA,0
15143C,2015,WT,3-day,train-train,trained,2,T5,On,15143D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T5_C2,WT_trained_trained_T5_C2,_15143C,15143C_,15143D_,12.53,2.09,2.54,0.3004,1,18.77,0.7,2.92,NA,1,581,NA,NA,NA,1.233,0.003,0.0763,0.8419,0.0788,0.8,180.36,267.65,38.66,0,0,200,160,0.1076,180,140,210,0.0026,3.5,0.3727,16.6,16.34,10.19,2.23,12.12,0.037293554,NA,0
15143C,2015,WT,3-day,train-train,trained,3,Retention,Off,15143D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,Retention,WT_trained_trained_Retention,_15143C,15143C_,15143D_,13.1,2.18,2.23,0.3409,1,516.47,12,0.78,NA,1,516,NA,NA,NA,1.633,0.0039,0.2769,0.6295,0.0896,0.69,162.03,248.67,48.99,0,0,190,140,0.0827,180,130,210,0.0182,8.5,0.3924,16.6,15.41,16.98,2.54,10.83,0.023234651,NA,0
15144C,2015,WT,3-day,train-train,trained,2,Retest,On,15144D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,Retest,WT_trained_trained_Retest,_15144C,15144C_,15144D_,14.94,2.49,2.45,0.3688,1,593.9,15.03,7.72,NA,1,593,NA,NA,NA,0.934,0.0022,0.0963,0.7887,0.1127,0.74,178.52,255.07,47.7,0,10,200,160,0.1157,180,140,210,5.00E-04,19.4,0.4411,16.6,16.11,12.71,2.5,11.68,0.025307291,NA,0
15144C,2015,WT,3-day,train-train,trained,2,T6,On,15144D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T6_C3,WT_trained_trained_T6_C3,_15144C,15144C_,15144D_,12.84,2.14,2.33,0.2937,1,46.53,0.96,1.47,NA,1,553,NA,NA,NA,0.667,0.002,0.8173,0.1807,0,0.92,120.99,210.72,24.05,0,0,140,120,0.1771,120,100,150,8.00E-04,8.5,0.5107,16.6,16.6,6.93,1.31,5.26,0.02063185,NA,0
15146C,2015,WT,3-day,train-train,trained,1,T2,On,15146D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T2,WT_trained_trained_T2,_15146C,15146C_,15146D_,14.68,2.45,2.34,0.3732,1,327.4,9.19,5.46,NA,1,327,NA,NA,NA,0.767,0.0019,0.1916,0.7364,0.0702,0.74,166.51,249.94,45.74,0,0,180,140,0.1042,160,130,200,0.0011,3.5,0.4407,18,16.81,9.85,1.31,6.88,0.02806964,NA,0
15146C,2015,WT,3-day,train-train,trained,1,T3,On,15146D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T3,WT_trained_trained_T3,_15146C,15146C_,15146D_,14.09,2.35,2.23,0.3702,1,526.87,13.21,4.33,NA,1,526,NA,NA,NA,0.6,0.0014,0.4366,0.5357,0.0263,0.69,142.06,231.02,48.28,0,0,170,110,0.0767,160,120,210,4.00E-04,8.5,0.485,18,17.12,9.14,0.77,2.98,0.025072599,NA,0
